ID,タイトル,勤務地,求人概要,必須要件,ポジション（職種）,年収帯(低),年収帯(高),企業名
1c41626e-2264-41e1-aa8e-c4f2605c8133,【キャリア/第二新卒】ビジネス/マーケティング職,東京都,"◆株式会社ブルードの全てが分かる｜会社説明動画 https://youtu.be/Cj3IpCpu4AY?feature=shared ーーーーーーーーーー
日本から海外への留学メディア事業、映像メディアマーケティング、訪日旅行メディア事業、海外支社立ち上げ、インバウンド留学事業、新規事業の担当を担っていただきます。
まずは管理職候補として自身の目標を達成、近い将来にはリーダー/マネジャー/...",,マーケティング,400,800,株式会社ブルード
597ca78a-1aa8-4454-9887-8352a5587fdf,1.1. 【東京】カスタマーサクセス部・採用コンサルタント（MGR候補）,東京都,"弊社は、採用の上流から下流まで一気通貫で支援を行う採用コンサルティング集団です。2025年1月に創立6周年を迎え、創立当初から増収増益を継続し、各業界を代表する大手企業を中心とした採用支援を展開しております。
採用代行にとどまらず、LinkedIn導入支援、ダイレクト採用、エージェント活用支援、採用ブランディング、アルムナイ運用、リファラル採用など、包括的なサービスを提供しています。
202...","・企業の中途採用業務を一通りリードした経験
 （例：求人、チャネル選定、面接対応、選考運用、データ分析 など）
・中途採用における実行フェーズを主導した経験
（KPI設定とPDCA運用、スカウト等母集団形成施策のハンズオンでの実行経験）
・複数ステークホルダーを巻き込みながら採用プロジェクトを推進した経験
 （現場部門との連携や調整、交渉、エージェントコミュニケーションを通じた成果の最大化など）
・ITエンジニア/コンサルタント（IT、業務）/機電系エンジニアの採用経験
・メンバー育成やチームマネジ...",カスタマーサクセス,700,1000,株式会社レイン
6d186fbe-a4b7-4898-bbb0-7b4db1f61f7e,【信和コミュニティ㈱】家賃保証部門,大阪府,"信和グループでは、ただ建てるだけの建設会社ではなく、
建てた後のアフターフォローまで自社で出来るよう、仲介管理も行っています。
仲介管理部門である、信和コミュニティ㈱では、自社物件も他社物件も管理をしており、オーナー様の賃料保証もトータルパッケージでご提案できるよう、
自社保証部門を持っており、今回の募集でご入社頂いた場合は、仲介管理部の保証部門でご活躍頂きます。
仲介管理部の保証課の命題は...","①不動産の業界経験（保証業務経験者歓迎）
②コミュニケーション能力があり、契約書を読むことが苦ではない方
③一般的なExcelスキル(vlookup関数が使えれば尚可)
④粘り強さ",コミュニティ,380,550,信和グループ
10c0ea44-c745-4304-8f65-26c84f2921b2,【インサイドセールス｜リーダー】スマートホームサービス『SpaceCore』のISリーダー,東京都,"全国の不動産デベロッパー、ビルダー、管理会社に対するスマートホームサービスのインサイドセールスの立ち上げをお任せします。
現在はISとFSを分けずに一気通貫型でセールス活動を行っていますが、当社の『SpaceCore』のサービスが市場から認められ、現在導入社数は現在530社を突破。
これからさらにサービス導入を増加させるため、インサイドセールスを強化していく運びとなりました。
1人目のインサ...","・SaaS、IT、通信業界などで インサイドセールス経験3年以上
・5名以上のチームマネジメント経験あり
・toB サービスのインサイドセールス戦略立案～実行経験がある",インサイドセールス,650,700,株式会社アクセルラボ
22ab355d-3a55-442a-9ba7-7f1b57a7c3bd,【信和コミュニティ㈱】家賃保証部門,大阪府,"信和グループでは、ただ建てるだけの建設会社ではなく、
建てた後のアフターフォローまで自社で出来るよう、仲介管理も行っています。
仲介管理部門である、信和コミュニティ㈱では、自社物件も他社物件も管理をしており、オーナー様の賃料保証もトータルパッケージでご提案できるよう、
自社保証部門を持っており、今回の募集でご入社頂いた場合は、仲介管理部の保証部門でご活躍頂きます。
仲介管理部の保証課の命題は...","①不動産の業界経験（保証業務経験者歓迎）
②コミュニケーション能力があり、契約書を読むことが苦ではない方
③一般的なExcelスキル(vlookup関数が使えれば尚可)
④粘り強さ",コミュニティ,380,550,信和グループ
c0a73859-0443-4792-98ba-b63bf946f8c2,a11_12/7(日)1day選考会_戦略コンサルタント　　 (_lx_mm),東京都,"1日で内定が出る1day選考会ご案内です
　2025/12/7
　　　　第1部 9:00～14:30
　　　　第2部 14:30～19:00
　　　　※書類選考通過後、弊社より時間帯（第1部・第2部）を指定させていただきます。
　　　　　ご都合のつかない場合は、ご相談ください！
▼1day選考会当日の流れ
　恵比寿ガーデンプレイス
　住所：東京都渋谷区恵比寿四丁目20番3号恵比寿ガーデンプレ...","・論理的思考力とコミュニケーション能力をお持ちの方
・成長意欲の高い方
・四年制大学または大学院を卒業（修了）されている方
・基本的なPCスキルをお持ちの方",コンサルタント,400,2000,株式会社WorkX
95ed58c3-d59f-496e-a9ca-98708c5d395a,SNS PF事業部_事業責任者,東京都,"■メディアエイド3つの独自性
・「知らなかったを救う。」というミッションの実現に向けて、オールドメディアからニューメディアへのパラダイムシフトに挑戦しています。
・創業事業のSNSソリューション事業からスタートし、SNSタレント事業, SNSプラットフォーム事業と創業初期フェーズから3つの事業領域にチャレンジしています。
・2029年までに時価総額1,000億円, 従業員1,000名, 海外...","・0→1or1→10の事業開発に携わった経験
・複数の事業や企業を巻き込んだ複雑度の高いプロジェクトの推進経験
・⾼い戦略的思考⼒とコミュニケーションスキル
・順応性と学習意欲の⾼さ",その他,600,1400,株式会社メディアエイド
0dbbb2bf-f2af-473c-b1f1-c4b03daf34c3,【弁護士・法務専門】キャリアアドバイザー【大手予備校グループ】,東京都,"弁護士・法務人材の転職支援実績の増加／好業績を背景に、事業成長を加速させるべく、キャリアアドバイザーを増員募集いたします。
弁護士・法務専門のキャリアドバイザーとして、求職者のキャリア支援、企業の中途採用支援を担っていただきます。
・人材のリサーチ、スカウト
・求職者とのキャリア面談
・求職者へのキャリア構築アドバイス及び求人提案
・クライアント企業への人材の紹介
・クライアントや求職者との...",人材紹介業のキャリアアドバイザー経験を半年以上お持ちの方（両面コンサルタントも含む）,キャリアアドバイザー,360,600,株式会社ファンオブライフ
91698d22-b625-48cf-b3bf-2f286a2452a6,【信和コミュニティ】BM（大阪）,大阪府,"信和グループで総合不動産管理を行う当社で、賃貸マンションの管理運営（PM・BM）業務に携わっていただきます。専門性と市場価値の高い経験を積むことが出来ます。
・解約時の清算・原状回復工事手配
　　　＊空室募集・新規契約は他部署で行います
・契約業務の遂行確認
・マンション設備等の不具合・故障等の対応
・管理を受託しているオーナーへの報告、提案業務等","未経験者歓迎
・Excel、Word、メール等のPC操作が可能な方
・電話対応に問題の無い方
・普通自動車第一種免許をお持ちの方",コミュニティ,400,550,信和グループ
2b0e7cae-7623-4a97-b3a4-50907adc35a3,【国内No.1 海外留学AXサービス】カナダ拠点立ち上げ候補者,東京都,"国内No.1の海外留学AXサービス「StudyIn」で活躍するカナダ拠点の立ち上げ責任者候補、もしくは拠点メンバーを募集します。
動画メディアを共通基盤として海外事業を急成長させている株式会社ブルードは、取扱高を三桁億から四桁億へスケールするフェーズにいます。自己資本経営、取扱高約三桁億、営業利益一桁億、日本最大級の留学AXサービスを運営しており、これから世界で留学サービスの垂直統合モデルを...","- 年間を通して著しい成果を出した経験
- 事業開発経験
- 事業責任者、マネジャー、部長経験
- 採用や組織構築経験
- 業務標準化、文化醸成を担った経験",その他,450,800,株式会社ブルード
